string	int	bool	bool	black	string	string	string
协议名称	连接类型（默认1，游戏连接为1，聊天连接为2）	是不是推送消息(只有收没有发)	是否并行发送	说明	协议头	发送PB	接收PB
Sid	ConnectType	IsPush	Parallel	PortDesc	Cmd	ClientPB	ServerPB
mail	1	true	false	邮件推送	mail	无	single_str
mail_port_delete	1	false	false	删除邮箱	/game/mail_port/delete	single_int	s2c_mail
mail_port_delete_all	1	false	false	一键删除	/game/mail_port/delete_all	single_str	s2c_mail_all
mail_port_get_mail_red	1	false	false	获取邮箱红点状态	/game/mail_port/get_mail_red	single_str	single_int
mail_port_get_mails	1	false	false	获取邮箱	/game/mail_port/get_mails	single_str	s2c_get_mails
mail_port_read	1	false	false	读取邮箱	/game/mail_port/read	single_int	s2c_mail
mail_port_take	1	false	false	领取附件	/game/mail_port/take	single_int	s2c_mail
mail_port_take_all	1	false	false	一键领取	/game/mail_port/take_all	single_str	s2c_mail_all
role_port_check_name	1	false	false	检测名字	/game/role_port/check_name	single_str	single_str
role_port_create_role	1	false	false	创建角色	/game/role_port/create_role	c2s_create_role	single_str
role_port_get_random_name	1	false	false	获取随机名字	/game/role_port/get_random_name	single_str	s2c_get_random_name
role_port_get_user	1	false	false	获取角色数据	/game/role_port/get_user	single_str	s2c_get_user
scene_port_get_all_info	1	false	false	获取场景中的精灵信息	/game/scene_port/get_all_info	single_str	s2c_get_all_sprite
scene_port_move	1	false	false	移动	/game/scene_port/move	c2s_move	single_str
scene_port_out	1	false	false	离开副本	/game/scene_port/out	single_str	single_str
scene_port_switch_scene	1	false	false	场景切换	/game/scene_port/switch_scene	c2s_switch_scene	single_str
scene_change	1	true	false	场景切换推送	scene_change	none	p_scene_change
scene_events	1	true	false	场景推送	scene_events	none	p2c_scene_events
