long	string	string	long[]	string	int[]	int	long[]
唯一id	资源路径	名字	固定物件(功能中的自己在功能里初始化)	绑定的界面(为空打开主界面)	背景音乐	是否取消同步位置	相邻的场景ID
sid	path	name	items	View	BgMusics	NotSync	NearbySid
1	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	测试场景			1#2#3	0	1
2	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	测试场景			1#2#3	0	1
3	Scene/Battle_Streetscape/prefabs/Battle_Streetscape	创建角色			1#2#3	0	1
10	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	测试场景			1#2#3	0	1
11	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	测试场景			1#2#3	0	1
12	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	测试场景1			1#2#3	0	1
21	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	测试关卡场景区域1			1#2#3	0	1
9002	Scene/Jianghu/prefabs/Jianghu	两只怪			1#2#3	0	1
9001	Scene/Battle_Streetscape/prefabs/Battle_Streetscape	一只怪			1#2#3	0	1
9003	Scene/Battle_Streetscape/prefabs/Battle_Streetscape	三只怪			1#2#3	0	1
10001	Scene/Jisitading/prefabs/Jisitading	吉斯塔顶部			1#2#3	0	1
10002	Scene/Nanzhendongqu/prefabs/nanzhendongquzhuzhaiqu_01	东区住宅区	1000209001#101		1#2#3	0	1
10003	Scene/Nanzhendongquguangchang/prefabs/Shangyeguangchang	东区广场	1000309101#102		1#2#3	0	1
10004	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	东区中央城	1000409001#1000409002#1000409003#1000409004		1#2#3	0	1
10005	Scene/Jianghu/prefabs/Jianghu	交错之门	1000509001		1#2#3	0	1
10006	Scene/Jianghu/prefabs/Jianghu	镇元斋道场	1000609001		1#2#3	0	1
10007	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	佣兵组织基地	1000709001#1000709002		1#2#3	0	1
10008	Scene/Battle_Streetscape/prefabs/Battle_Streetscape	佣兵组织基地废墟	1000809001		1#2#3	0	1
10009	Scene/Jianghu/prefabs/Jianghu	安全屋			1#2#3	0	1
10010	Scene/Nanzhendongqushuniu/prefabs/Nanzhendongqushuniu	东区枢纽	1001009001#1001009002#1001009003		1#2#3	0	1
10011	Scene/Nanzhendongqujiaowai/prefabs/Nanzhendongqujiaowai	东区郊外	1001109001#103		1#2#3	0	1
10012	Scene/Senlin/prefabs/Senlin	北区东海岸	1001209001#1001209002		1#2#3	0	1
10013	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	北区中央城	1001309001#1001309002#1001309003		1#2#3	0	1
10014	Scene/Nanzhendongquguangchang/prefabs/Shangyeguangchang	北区广场	1001409001#105		1#2#3	0	1
10015	Scene/Senlin/prefabs/Senlin	北区郊外	1001509001		1#2#3	0	1
10016	Scene/Nanzhendongqushuniu/prefabs/Nanzhendongqushuniu	北区枢纽	1001609001#1001609002#104		1#2#3	0	1
30001	Scene/Jianghu/prefabs/Jianghu	生存试炼			1#2#3	0	1
10018	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	时光秘境	1001809001		1#2#3	0	1
30011	Scene/Nanzhendongqushuniu/prefabs/Nanzhendongqushuniu	意志试炼			1#2#3	0	1
10020	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	组队副本			1#2#3	0	1
10021	Scene/Nanzhendongqushuniu/prefabs/Nanzhendongqushuniu	黑色诺亚			1#2#3	0	1
10022	Scene/Dixiagedouchang/prefabs/Dixiagedouchang	研发室			1#2#3	0	1
10023	Scene/Senlin/prefabs/Senlin	森林			1#2#3	0	1
10024	Scene/Nanzhendongqushuniu/prefabs/Nanzhendongqushuniu	复古东区枢纽	1002409501#1002409502		1#2#3	0	1
10025	Scene/Zhucheng_southeast_corner/prefabs/Zhucheng_southeast_corner	复古东区中央城	1002509501#1002509502#1002509503		1#2#3	0	1
